n	LCG-diff	LCG-time-mus	MT19937-diff	MT19937-time-mus
10	0.341593	6	0.341593	2
10	-0.0584073	2	0.741593	2
10	-0.458407	2	-0.458407	2
100	-0.0984073	28	-0.0184073	18
100	-0.178407	25	-0.138407	18
1000	0.0735927	259	-0.0544073	209
1000	-0.0744073	255	0.0295927	214
100	-0.178407	25	-0.378407	18
1000	0.101593	255	-0.0264073	208
10000	-0.00560735	2663	0.0171927	2189
10000	-0.00600735	2693	-0.00640735	2240
10	0.741593	3	-0.458407	2
100	-0.178407	27	-0.298407	19
1000	0.0375927	270	0.0135927	245
10000	-0.00720735	2554	-0.00440735	2110
10000	-0.0184073	2471	-0.0148073	2072
10	0.341593	6	0.341593	2
10	-0.0584073	2	0.741593	2
10	-0.458407	2	-0.458407	2
100	-0.0984073	28	-0.0184073	18
100	-0.178407	25	-0.138407	18
1000	0.0735927	259	-0.0544073	209
1000	-0.0744073	255	0.0295927	214
100	-0.178407	25	-0.378407	18
1000	0.101593	255	-0.0264073	208
10000	-0.00560735	2663	0.0171927	2189
10000	-0.00600735	2693	-0.00640735	2240
10	0.741593	3	-0.458407	2
100	-0.178407	27	-0.298407	19
1000	0.0375927	270	0.0135927	245
10000	-0.00720735	2554	-0.00440735	2110
10000	-0.0184073	2471	-0.0148073	2072
