n	LCG-diff	LCG-time-mus	MT19937-diff	MT19937-time-mus
1000000	0.0240647	2.30648e+06	0.000916654	246761
1000000	0.0216007	2.45819e+06	-0.00111935	218298
1000000	0.0211687	2.4932e+06	0.00222065	214619
1000000	0.0181847	2.48467e+06	0.000976654	232764
1000000	0.0192367	2.49552e+06	0.000808654	222601
1000000	0.0199887	2.50233e+06	-0.000795346	236390
1000000	0.0224687	2.46959e+06	0.00103265	297590
1000000	0.0171887	2.49489e+06	-0.000227346	305680
1000000	0.00394865	1.15592e+06	-0.00159935	294118
1000000	0.0232527	1.99147e+06	0.000668654	261985
1000000	0.0182367	2.28757e+06	-0.000359346	244298
1000000	0.0139687	2.46431e+06	0.000884654	213002
1000000	0.0192487	2.45613e+06	0.000948654	222195
1000000	0.0174647	2.44226e+06	3.66536e-05	215547
1000000	0.0180247	2.4565e+06	0.000756654	225640
1000000	0.0170247	2.33452e+06	0.00186865	302394
1000000	0.0147127	1.58526e+06	0.00294865	262624
1000000	0.0144447	1.81394e+06	-0.00109935	262583
1000000	0.0154207	1.82256e+06	-0.00118735	262199
1000000	0.0178887	2.20829e+06	-0.000119346	280655
1000000	0.0191567	2.31242e+06	0.000872654	242497
1000000	0.0149727	2.46919e+06	0.00121265	214759
1000000	0.0172207	2.45868e+06	-0.00159535	262102
1000000	0.0166327	2.47038e+06	-0.000571346	303728
1000000	0.0203607	2.05525e+06	-0.000155346	266361
1000000	0.0137967	1.96403e+06	-0.000499346	316043
1000000	0.0182727	1.82568e+06	-0.00219535	267218
1000000	0.0162287	2.07524e+06	-0.000811346	271189
1000000	0.0164847	2.16426e+06	-0.000623346	258798
1000000	0.0207047	2.02438e+06	0.00161665	266394
1000000	0.0200367	2.20601e+06	0.000796654	259818
1000000	0.0186727	2.31658e+06	0.00192065	234562
1000000	0.0190167	2.32631e+06	-0.000971346	230213
1000000	0.0182447	1.99024e+06	-0.000159346	262243
1000000	0.0184647	2.20293e+06	-0.00175135	302293
1000000	0.0197887	2.1027e+06	0.00138865	266935
1000000	0.0181047	2.14947e+06	0.00281665	261458
1000000	0.0192087	2.08382e+06	0.00263265	328682
1000000	0.0184967	2.15629e+06	0.000856654	265972
1000000	0.0191247	2.33364e+06	-0.00125935	230465
1000000	0.0204647	2.3313e+06	0.00168465	229290
1000000	0.0192127	2.01739e+06	0.000236654	261553
1000000	0.0189807	2.06712e+06	-0.00326335	292381
1000000	0.0199567	2.08451e+06	-0.00255135	267616
1000000	0.0196807	1.95624e+06	-0.00210735	272336
1000000	0.0202407	2.14205e+06	0.00126065	256309
1000000	0.0185687	2.12209e+06	-0.00269535	258290
1000000	0.0160167	2.3359e+06	0.00412865	229349
1000000	0.0168567	2.33487e+06	-0.000763346	228702
1000000	0.0208407	2.03022e+06	0.00222065	260668
1000000	0.0199487	2.12379e+06	-0.00153935	260491
1000000	0.0192127	2.09482e+06	0.00182065	262019
1000000	0.0191487	2.19429e+06	0.00253665	273539
1000000	0.0175167	2.16685e+06	0.00136065	253476
1000000	0.0177767	2.15273e+06	-0.000383346	257232
1000000	0.0142167	2.33145e+06	-0.00119935	231124
1000000	0.0175687	2.33506e+06	0.00130465	233856
1000000	0.0188247	2.06392e+06	0.000220654	260637
1000000	0.0190807	1.88312e+06	0.000100654	251866
1000000	0.0180927	2.04546e+06	0.000332654	259702
1000000	0.0189727	2.14812e+06	0.00122065	246836
1000000	0.0186847	2.1373e+06	-0.00118335	261577
1000000	0.0188247	2.38168e+06	0.00190465	262590
1000000	0.0190807	2.2913e+06	3.26536e-05	237046
1000000	0.0205607	2.08833e+06	-0.000239346	254922
1000000	0.0171967	2.29807e+06	0.000284654	229328
1000000	0.0190487	2.21992e+06	0.000824654	290513
1000000	0.0170927	2.05955e+06	-0.00106735	259823
1000000	0.0189647	2.14726e+06	-0.00123535	250978
1000000	0.0231767	1.99497e+06	0.00196065	261373
1000000	0.0196007	2.13953e+06	-0.000759346	259684
1000000	0.0189847	2.11196e+06	0.00296465	264237
1000000	0.0174647	2.32691e+06	0.000532654	270322
1000000	0.0167167	2.41998e+06	-0.00174735	267577
1000000	0.0203327	2.26664e+06	-0.000731346	317088
1000000	0.0191127	2.12884e+06	0.00116465	263035
1000000	0.0203287	1.91055e+06	-0.000387346	263789
1000000	0.0196207	2.03841e+06	-0.000787346	269640
1000000	0.0189847	2.12196e+06	0.00204065	267557
1000000	0.0218327	2.09114e+06	0.00186065	261166
1000000	0.0201887	2.12572e+06	0.00160465	266920
1000000	0.0174407	2.14733e+06	-0.00237135	262684
1000000	0.0166727	2.29995e+06	-0.000691346	261174
1000000	0.0198887	2.15443e+06	-0.000463346	262861
1000000	0.0147407	2.15796e+06	0.000880654	266068
1000000	0.0194127	2.06668e+06	-0.000671346	265934
1000000	0.0199487	2.1533e+06	-0.000587346	267654
1000000	0.0211327	2.31686e+06	-0.00177935	298785
1000000	0.0211687	2.14222e+06	-0.00378735	272269
1000000	0.0181167	2.15747e+06	0.00245665	263483
1000000	0.0201767	2.13739e+06	-0.00106335	261599
1000000	0.0184447	2.15698e+06	-0.00274735	265263
1000000	0.0198367	1.96721e+06	0.00183265	276036
1000000	0.0169447	2.14501e+06	-0.000791346	265744
1000000	0.0200127	2.13489e+06	-0.00145135	267582
1000000	0.0179927	2.11799e+06	0.00435665	265072
1000000	0.0174087	2.35566e+06	0.000108654	297460
1000000	0.0179967	2.15469e+06	-0.00169535	270536
1000000	0.0184687	2.11192e+06	1.26536e-05	260625
1000000	0.0185087	2.15426e+06	0.00239265	268096
1000000	0.0212927	2.06466e+06	0.000460654	280150
1000000	0.0179287	2.16536e+06	0.000608654	265222
1000000	0.0160807	2.11387e+06	0.00100865	266960
1000000	0.0197207	2.11719e+06	-0.000375346	263312
1000000	0.0197727	2.16141e+06	0.00218065	267836
1000000	0.0180047	2.2698e+06	0.00106465	316668
1000000	0.0182247	2.11984e+06	-0.00175935	265742
1000000	0.0217047	2.03686e+06	7.26536e-05	267725
1000000	0.0186767	2.13076e+06	-0.00123535	268087
1000000	0.0163487	2.15722e+06	0.000296654	262863
1000000	0.0162927	2.13246e+06	0.000712654	267276
1000000	0.0198487	2.12449e+06	0.000456654	263560
1000000	0.0181127	2.08725e+06	0.00260065	259768
1000000	0.0138967	2.21331e+06	0.00262865	268474
1000000	0.0195847	2.13652e+06	-0.000899346	268731
