n	LCG-diff	LCG-time-mus	MT19937-diff	MT19937-time-mus
10	0.341593	11	-0.458407	5
10	-0.0584073	7	-0.0584073	5
10	-0.0584073	15	0.341593	8
100	-0.178407	61	0.101593	48
10	-0.0584073	10	1.14159	6
10	0.341593	10	1.14159	5
10	1.14159	11	0.341593	5
100	-0.218407	67	0.181593	52
100	-0.0584073	137	-0.0984073	53
100	0.101593	151	-0.0584073	53
10	0.341593	33	-0.0584073	5
10	0.741593	42	-0.458407	4
100	-0.0184073	189	0.0215927	61
100	-0.0984073	211	-0.0584073	69
100	-0.298407	122	0.0215927	49
10	-0.858407	41	-0.0584073	6
10	-0.458407	43	-0.0584073	5
10	-0.0584073	26	-0.0584073	19
10	-0.0584073	35	-0.458407	18
100	-0.0984073	412	0.301593	54
10	-0.0584073	17	-0.458407	2
100	-0.0184073	300	0.301593	36
100	0.0215927	478	0.0215927	58
10	-0.0584073	31	1.14159	2
10	-0.0584073	69	-0.0584073	4
100	0.141593	252	0.101593	27
100	0.381593	258	0.0215927	25
10	0.341593	114	-0.0584073	55
100	-0.0584073	393	0.181593	61
1000	0.105593	1789	-0.00240735	483
100	0.0215927	270	-0.178407	28
100	-0.178407	509	-0.138407	47
100	0.221593	573	0.141593	54
1000	-0.0104073	3546	-0.00240735	612
1000	0.0255927	3823	-0.0104073	754
1000	0.0535927	3011	-0.0104073	276
1000	0.0175927	3243	0.00159265	272
1000	-0.0224073	4278	0.0455927	620
1000	-0.0384073	3925	0.0815927	650
1000	0.00159265	4709	0.0495927	536
1000	0.0895927	3138	-0.0624073	299
1000	0.00559265	4789	0.0215927	491
1000	0.0815927	4115	0.0975927	338
1000	0.0855927	2837	0.00159265	261
1000	0.0655927	4080	0.0175927	334
1000	0.00959265	2884	0.00159265	413
1000	-0.114407	3513	0.00959265	325
1000	-0.00640735	2541	0.0175927	272
10000	0.0511927	20142	0.0143927	2266
10000	0.0239927	23549	0.00239265	2359
10000	0.0391927	22306	0.00359265	2850
10000	0.0423927	23142	0.00719265	2380
10000	-0.0296073	22436	-0.0328073	2337
10000	0.0391927	22885	-0.0164073	2964
10000	0.0207927	20872	0.0175927	3124
10000	0.0131927	14593	-0.00840735	2225
10000	0.0247927	18865	-0.00320735	2649
10000	0.0151927	22410	0.0303927	2270
10000	0.0143927	22601	-0.00120735	2301
10000	0.0119927	20566	0.0171927	3311
10000	0.00519265	22555	-0.00320735	2310
10000	0.0103927	22385	0.00399265	2933
10000	-0.0128073	37633	0.0199927	15747
10000	0.0207927	40383	-0.00920735	2772
100000	0.0150727	209510	-0.000847346	26533
100000	0.0158727	227829	-0.00768735	24611
100000	0.0205127	231665	-0.000727346	23070
100000	0.0187527	229966	-0.00152735	33023
100000	0.0190727	241904	-0.00268735	28226
100000	0.0186327	238579	0.00403265	27283
100000	0.0154327	237494	0.000792654	30086
100000	0.0156327	178650	0.00131265	48818
100000	0.000552654	85404	0.00223265	26667
100000	0.0209527	179794	-0.000767346	26827
100000	0.0125927	201679	-0.00660735	26374
100000	0.0237127	219076	-0.00488735	27543
100000	0.0175927	217547	-0.00452735	28598
100000	0.0224327	231955	-0.00312735	21703
100000	0.0187927	241201	-0.00528735	21407
100000	0.0216727	240603	0.0108327	24890
1000000	0.0228767	2.4359e+06	0.000724654	247935
1000000	0.0196047	2.37632e+06	-0.000791346	288928
1000000	0.0200407	2.38066e+06	0.000780654	300684
1000000	0.0193807	2.408e+06	-0.00124335	225504
1000000	0.0192767	2.36491e+06	0.000688654	286667
1000000	0.0192167	2.39013e+06	-0.000371346	309218
1000000	0.0175367	2.40307e+06	-0.000755346	316821
1000000	0.0205687	2.4224e+06	-0.000223346	336522
1000000	0.0113087	1.50435e+06	0.000980654	262024
1000000	0.0220967	2.17149e+06	-0.00165135	270189
1000000	0.0169247	2.24899e+06	0.000124654	253501
1000000	0.0167967	2.29458e+06	0.00131665	311196
1000000	0.0189327	2.37963e+06	-0.00255535	228724
1000000	0.0202687	2.2949e+06	-0.00113935	291037
1000000	0.0194007	2.3177e+06	-0.00195535	274281
1000000	0.0200687	2.33132e+06	0.00239265	301417
10000000	0.0198823	2.36236e+07	-0.000354146	2.76132e+06
10000000	0.0207471	2.37508e+07	-0.00100335	2.20579e+06
10000000	0.0192023	2.4295e+07	0.000228254	2.3451e+06
10000000	0.0193455	2.43395e+07	-0.000426146	2.60546e+06
10000000	0.0197691	2.40005e+07	3.42536e-05	3.04757e+06
10000000	0.0193199	2.43869e+07	0.000552654	2.77261e+06
10000000	0.0195043	2.41765e+07	0.000447454	3.03789e+06
10000000	0.0187507	2.41882e+07	0.000246254	3.15019e+06
10000000	0.0129951	1.72283e+07	-0.000606146	2.63279e+06
10000000	0.0141727	1.96861e+07	-1.61464e-05	2.58039e+06
10000000	0.0188711	2.12287e+07	0.000219054	2.13479e+06
10000000	0.0173203	2.20357e+07	-0.000497746	2.39994e+06
10000000	0.0209235	2.10524e+07	-6.01464e-05	2.96564e+06
10000000	0.0205587	2.11499e+07	7.42536e-05	2.68648e+06
10000000	0.0162831	2.19059e+07	4.14536e-05	2.19045e+06
10000000	0.0148395	2.16708e+07	-0.000434146	2.67939e+06
10	0.341593	11	-0.458407	5
10	-0.0584073	7	-0.0584073	5
10	-0.0584073	15	0.341593	8
100	-0.178407	61	0.101593	48
10	-0.0584073	10	1.14159	6
10	0.341593	10	1.14159	5
10	1.14159	11	0.341593	5
100	-0.218407	67	0.181593	52
100	-0.0584073	137	-0.0984073	53
100	0.101593	151	-0.0584073	53
10	0.341593	33	-0.0584073	5
10	0.741593	42	-0.458407	4
100	-0.0184073	189	0.0215927	61
100	-0.0984073	211	-0.0584073	69
100	-0.298407	122	0.0215927	49
10	-0.858407	41	-0.0584073	6
10	-0.458407	43	-0.0584073	5
10	-0.0584073	26	-0.0584073	19
10	-0.0584073	35	-0.458407	18
100	-0.0984073	412	0.301593	54
10	-0.0584073	17	-0.458407	2
100	-0.0184073	300	0.301593	36
100	0.0215927	478	0.0215927	58
10	-0.0584073	31	1.14159	2
10	-0.0584073	69	-0.0584073	4
100	0.141593	252	0.101593	27
100	0.381593	258	0.0215927	25
10	0.341593	114	-0.0584073	55
100	-0.0584073	393	0.181593	61
1000	0.105593	1789	-0.00240735	483
100	0.0215927	270	-0.178407	28
100	-0.178407	509	-0.138407	47
100	0.221593	573	0.141593	54
1000	-0.0104073	3546	-0.00240735	612
1000	0.0255927	3823	-0.0104073	754
1000	0.0535927	3011	-0.0104073	276
1000	0.0175927	3243	0.00159265	272
1000	-0.0224073	4278	0.0455927	620
1000	-0.0384073	3925	0.0815927	650
1000	0.00159265	4709	0.0495927	536
1000	0.0895927	3138	-0.0624073	299
1000	0.00559265	4789	0.0215927	491
1000	0.0815927	4115	0.0975927	338
1000	0.0855927	2837	0.00159265	261
1000	0.0655927	4080	0.0175927	334
1000	0.00959265	2884	0.00159265	413
1000	-0.114407	3513	0.00959265	325
1000	-0.00640735	2541	0.0175927	272
10000	0.0511927	20142	0.0143927	2266
10000	0.0239927	23549	0.00239265	2359
10000	0.0391927	22306	0.00359265	2850
10000	0.0423927	23142	0.00719265	2380
10000	-0.0296073	22436	-0.0328073	2337
10000	0.0391927	22885	-0.0164073	2964
10000	0.0207927	20872	0.0175927	3124
10000	0.0131927	14593	-0.00840735	2225
10000	0.0247927	18865	-0.00320735	2649
10000	0.0151927	22410	0.0303927	2270
10000	0.0143927	22601	-0.00120735	2301
10000	0.0119927	20566	0.0171927	3311
10000	0.00519265	22555	-0.00320735	2310
10000	0.0103927	22385	0.00399265	2933
10000	-0.0128073	37633	0.0199927	15747
10000	0.0207927	40383	-0.00920735	2772
100000	0.0150727	209510	-0.000847346	26533
100000	0.0158727	227829	-0.00768735	24611
100000	0.0205127	231665	-0.000727346	23070
100000	0.0187527	229966	-0.00152735	33023
100000	0.0190727	241904	-0.00268735	28226
100000	0.0186327	238579	0.00403265	27283
100000	0.0154327	237494	0.000792654	30086
100000	0.0156327	178650	0.00131265	48818
100000	0.000552654	85404	0.00223265	26667
100000	0.0209527	179794	-0.000767346	26827
100000	0.0125927	201679	-0.00660735	26374
100000	0.0237127	219076	-0.00488735	27543
100000	0.0175927	217547	-0.00452735	28598
100000	0.0224327	231955	-0.00312735	21703
100000	0.0187927	241201	-0.00528735	21407
100000	0.0216727	240603	0.0108327	24890
1000000	0.0228767	2.4359e+06	0.000724654	247935
1000000	0.0196047	2.37632e+06	-0.000791346	288928
1000000	0.0200407	2.38066e+06	0.000780654	300684
1000000	0.0193807	2.408e+06	-0.00124335	225504
1000000	0.0192767	2.36491e+06	0.000688654	286667
1000000	0.0192167	2.39013e+06	-0.000371346	309218
1000000	0.0175367	2.40307e+06	-0.000755346	316821
1000000	0.0205687	2.4224e+06	-0.000223346	336522
1000000	0.0113087	1.50435e+06	0.000980654	262024
1000000	0.0220967	2.17149e+06	-0.00165135	270189
1000000	0.0169247	2.24899e+06	0.000124654	253501
1000000	0.0167967	2.29458e+06	0.00131665	311196
1000000	0.0189327	2.37963e+06	-0.00255535	228724
1000000	0.0202687	2.2949e+06	-0.00113935	291037
1000000	0.0194007	2.3177e+06	-0.00195535	274281
1000000	0.0200687	2.33132e+06	0.00239265	301417
10000000	0.0198823	2.36236e+07	-0.000354146	2.76132e+06
10000000	0.0207471	2.37508e+07	-0.00100335	2.20579e+06
10000000	0.0192023	2.4295e+07	0.000228254	2.3451e+06
10000000	0.0193455	2.43395e+07	-0.000426146	2.60546e+06
10000000	0.0197691	2.40005e+07	3.42536e-05	3.04757e+06
10000000	0.0193199	2.43869e+07	0.000552654	2.77261e+06
10000000	0.0195043	2.41765e+07	0.000447454	3.03789e+06
10000000	0.0187507	2.41882e+07	0.000246254	3.15019e+06
10000000	0.0129951	1.72283e+07	-0.000606146	2.63279e+06
10000000	0.0141727	1.96861e+07	-1.61464e-05	2.58039e+06
10000000	0.0188711	2.12287e+07	0.000219054	2.13479e+06
10000000	0.0173203	2.20357e+07	-0.000497746	2.39994e+06
10000000	0.0209235	2.10524e+07	-6.01464e-05	2.96564e+06
10000000	0.0205587	2.11499e+07	7.42536e-05	2.68648e+06
10000000	0.0162831	2.19059e+07	4.14536e-05	2.19045e+06
10000000	0.0148395	2.16708e+07	-0.000434146	2.67939e+06
