n	LCG-diff	LCG-time-mus	MT19937-diff	MT19937-time-mus
10	-0.0584073	6	-0.458407	2
10	-0.0584073	2	-0.0584073	0
10	-0.458407	3	-0.0584073	1
10	0.341593	1	-0.458407	0
10	0.741593	3	0.341593	2
100	0.101593	17	-0.0584073	8
10	-0.458407	1	-0.458407	0
10	-0.0584073	6	0.741593	0
100	-0.138407	16	-0.0584073	10
100	-0.138407	7	0.0615927	3
100	0.0215927	119	0.0215927	4
100	-0.0984073	121	-0.138407	3
100	-0.258407	153	0.0215927	11
100	0.0215927	94	-0.0184073	4
10	1.54159	3	0.341593	1
100	-0.0984073	1444	0.141593	9
1000	-0.0384073	5669	0.0175927	50
1000	0.0415927	5963	0.00959265	50
1000	0.0375927	6606	0.0375927	50
1000	-0.0224073	6925	-0.0504073	49
1000	-0.0544073	7968	0.0135927	80
1000	-0.0704073	8216	0.0615927	50
1000	-0.0224073	8370	-0.0184073	50
1000	0.0455927	8025	-0.0224073	49
10000	0.00119265	54923	0.00879265	486
10000	-0.00560735	55291	0.00359265	494
10000	0.0191927	56869	0.0259927	487
10000	0.00919265	55523	-0.00200735	543
10000	-0.00520735	57871	0.0199927	718
10000	-0.00560735	56826	-0.0208073	488
10000	0.00399265	58733	0.0255927	486
10000	-0.0112073	57203	0.00319265	502
100000	0.00415265	559533	0.00667265	4878
100000	-0.00116735	560190	0.00687265	4930
100000	-0.00252735	566701	-0.00212735	4968
100000	-0.00100735	564879	3.26536e-05	4913
100000	0.00379265	569677	-0.000567346	5553
100000	-0.00364735	569880	-0.00244735	5047
100000	0.00407265	575020	-0.00116735	6660
100000	-0.00572735	576894	0.00571265	4893
1000000	0.00168465	5.65139e+06	-0.000131346	61967
1000000	0.000260654	5.64479e+06	0.000992654	66540
1000000	-0.000835346	5.67627e+06	-0.00289535	53136
1000000	-0.000771346	5.66624e+06	-0.000783346	59568
1000000	0.00112465	5.66319e+06	-0.000803346	71698
1000000	0.00391265	5.67006e+06	-0.000399346	74596
1000000	0.000408654	5.68755e+06	-1.93464e-05	78957
1000000	-0.00227535	5.66851e+06	0.00134065	81061
10	-0.0584073	6	-0.458407	2
10	-0.0584073	2	-0.0584073	0
10	-0.458407	3	-0.0584073	1
10	0.341593	1	-0.458407	0
10	0.741593	3	0.341593	2
100	0.101593	17	-0.0584073	8
10	-0.458407	1	-0.458407	0
10	-0.0584073	6	0.741593	0
100	-0.138407	16	-0.0584073	10
100	-0.138407	7	0.0615927	3
100	0.0215927	119	0.0215927	4
100	-0.0984073	121	-0.138407	3
100	-0.258407	153	0.0215927	11
100	0.0215927	94	-0.0184073	4
10	1.54159	3	0.341593	1
100	-0.0984073	1444	0.141593	9
1000	-0.0384073	5669	0.0175927	50
1000	0.0415927	5963	0.00959265	50
1000	0.0375927	6606	0.0375927	50
1000	-0.0224073	6925	-0.0504073	49
1000	-0.0544073	7968	0.0135927	80
1000	-0.0704073	8216	0.0615927	50
1000	-0.0224073	8370	-0.0184073	50
1000	0.0455927	8025	-0.0224073	49
10000	0.00119265	54923	0.00879265	486
10000	-0.00560735	55291	0.00359265	494
10000	0.0191927	56869	0.0259927	487
10000	0.00919265	55523	-0.00200735	543
10000	-0.00520735	57871	0.0199927	718
10000	-0.00560735	56826	-0.0208073	488
10000	0.00399265	58733	0.0255927	486
10000	-0.0112073	57203	0.00319265	502
100000	0.00415265	559533	0.00667265	4878
100000	-0.00116735	560190	0.00687265	4930
100000	-0.00252735	566701	-0.00212735	4968
100000	-0.00100735	564879	3.26536e-05	4913
100000	0.00379265	569677	-0.000567346	5553
100000	-0.00364735	569880	-0.00244735	5047
100000	0.00407265	575020	-0.00116735	6660
100000	-0.00572735	576894	0.00571265	4893
1000000	0.00168465	5.65139e+06	-0.000131346	61967
1000000	0.000260654	5.64479e+06	0.000992654	66540
1000000	-0.000835346	5.67627e+06	-0.00289535	53136
1000000	-0.000771346	5.66624e+06	-0.000783346	59568
1000000	0.00112465	5.66319e+06	-0.000803346	71698
1000000	0.00391265	5.67006e+06	-0.000399346	74596
1000000	0.000408654	5.68755e+06	-1.93464e-05	78957
1000000	-0.00227535	5.66851e+06	0.00134065	81061
